title,url,agency,location,salary,closing_date,search_term
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833426900,"Justice, Bureau of Prisons/Federal Prison System","Fort Worth, Texas Fort Worth, Texas",Not specified,Opening and closing dates Open 03/10/2025 to 03/31/2025,System Administrator
ITSPEC (CUSTOMER SUPPORT),https://www.usajobs.gov/job/806611100,Air National Guard Units,"Eielson AFB, Alaska Eielson AFB, Alaska",Not specified,Opening and closing dates Open 08/26/2024 to 08/25/2025,System Administrator
Health System Specialist,https://www.usajobs.gov/job/833413800,Veterans Health Administration,"Fort Harrison, Montana Fort Harrison, Montana",Not specified,Opening and closing dates Open 03/10/2025 to 03/18/2025,System Administrator
Registered Nurse - Deputy Associate Director of Patient Care Services (ADPCS),https://www.usajobs.gov/job/833280300,Veterans Health Administration,"Buffalo, New York Buffalo, New York",Not specified,Opening and closing dates Open 03/07/2025 to 03/17/2025,System Administrator
"Procurement Analyst (Information Systems), NF-04",https://www.usajobs.gov/job/832364600,Army Installation Management Command,"Fort Sam Houston, Texas Fort Sam Houston, Texas",Not specified,Opening and closing dates Open 02/24/2025 to 03/17/2025,System Administrator
Physician,https://www.usajobs.gov/job/833372900,Centers for Medicare & Medicaid Services,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/07/2025 to 03/13/2025,System Administrator
Case Administrator,https://www.usajobs.gov/job/832542000,U.S. Courts,"Atlanta, Georgia Atlanta, Georgia",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,System Administrator
ASSISTANT/ASSOCIATE/PROFESSOR OF STRATEGIC LEADERSHIP,https://www.usajobs.gov/job/832754500,National Defense University,"Fort McNair, District of Columbia Fort McNair, District of Columbia",Not specified,Opening and closing dates Open 03/03/2025 to 03/17/2025,System Administrator
Health System Specialist - Controlled Substance Coordinator/Auditor,https://www.usajobs.gov/job/832565700,Veterans Health Administration,"Iowa City, Iowa Iowa City, Iowa",Not specified,Opening and closing dates Open 02/26/2025 to 03/10/2025,System Administrator
ITSPEC (SYSADMIN) (TITLE 32),https://www.usajobs.gov/job/832588200,Air National Guard Units,"Tyndall AFB, Florida Tyndall AFB, Florida",Not specified,Opening and closing dates Open 02/27/2025 to 03/28/2025,System Administrator
Budget and Accounting Officer (Budget and Accounting Officer),https://www.usajobs.gov/job/833376600,"Justice, Bureau of Prisons/Federal Prison System","Atlanta, Georgia Atlanta, Georgia",Not specified,Opening and closing dates Open 03/07/2025 to 03/28/2025,System Administrator
DATA SCIENTIST,https://www.usajobs.gov/job/832658300,U.S. Pacific Fleet,"Naval Air Station San Diego, California Naval Air Station San Diego, California",Not specified,Opening and closing dates Open 02/27/2025 to 03/12/2025,Data Scientist
Data Scientist,https://www.usajobs.gov/job/832052300,U.S. Army V Corps,"Fort Knox, Kentucky Fort Knox, Kentucky",Not specified,Opening and closing dates Open 02/24/2025 to 03/10/2025,Data Scientist
Data Scientist,https://www.usajobs.gov/job/832052000,U.S. Army V Corps,"Fort Knox, Kentucky Fort Knox, Kentucky",Not specified,Opening and closing dates Open 02/24/2025 to 03/10/2025,Data Scientist
DATA SCIENTIST,https://www.usajobs.gov/job/827053600,Department of the Air Force - Agency Wide,Multiple Locations,Not specified,Opening and closing dates Open 01/08/2025 to 09/30/2025,Data Scientist
